no,x,y,z
1,2.469003987,102.3917227,65.73661041
2,2.469004795,102.3917962,65.17223358
3,2.469004927,102.392028,64.17397308
4,2.469005058,102.3921802,63.77511978
5,2.469005058,102.3923332,65.30157471
6,2.46900532,102.392483,66.42469025
7,2.469005451,102.3919498,63.4536171
8,2.469005517,102.3918754,65.15810394
9,2.469005845,102.3922555,64.52774811
10,2.46900637,102.3921025,63.34932709
11,2.46900637,102.3924082,66.05679321
12,2.469069278,102.3917594,65.72868347
13,2.469069737,102.3918366,65.42415619
14,2.46906996,102.3916846,66.67660522
15,2.469070525,102.3919112,64.5735321
16,2.469070918,102.3921411,63.69078064
17,2.469071443,102.3920658,63.38177109
18,2.469071705,102.3924434,66.40476227
19,2.469071705,102.3923702,65.50281525
20,2.469071837,102.3919876,64.50333405
21,2.469071968,102.3922951,64.80976868
22,2.469072755,102.3922175,64.76599121
23,2.469137697,102.3919509,65.03355408
24,2.469138025,102.391795,66.43239594
25,2.469138091,102.392255,64.35488892
26,2.469138287,102.3917186,66.0625
27,2.469138353,102.3921015,64.05124664
28,2.469138353,102.3920264,64.4706955
29,2.469138484,102.3918724,65.07563782
30,2.469138615,102.3921776,63.74792099
31,2.46913914,102.3923334,64.92510986
32,2.46914019,102.3924024,66.26799011
33,2.469199884,102.3918338,65.86421204
34,2.469200868,102.3916811,66.87966919
35,2.469202114,102.3922167,65.11634827
36,2.469203164,102.3919879,65.350914
37,2.469203164,102.3921387,63.81232071
38,2.469203689,102.3920624,65.05054474
39,2.46920382,102.3917591,66.81634521
40,2.469203951,102.3922946,65.13827515
41,2.469205263,102.3923647,65.62832642
42,2.469205657,102.3919097,65.22154236
43,2.46926745,102.3917199,67.02445984
44,2.469267844,102.391794,66.6346817
45,2.469268631,102.3918732,66.41933441
46,2.469269287,102.3922563,64.99398041
47,2.469269812,102.3921786,63.71962357
48,2.469270599,102.391949,64.92260742
49,2.469270599,102.3920259,65.40773773
50,2.469270599,102.3921015,64.55068207
51,2.469270599,102.3923282,65.30876923
52,2.469334491,102.3918338,66.33683777
53,2.469335541,102.3917564,66.29248047
54,2.469335738,102.3916816,67.32615662
55,2.469335934,102.3919102,65.62890625
56,2.469336197,102.3922175,64.6787262
57,2.469336722,102.3919879,65.12119293
58,2.469337246,102.3920632,64.73236084
59,2.469337509,102.3922888,65.46419525
60,2.469337771,102.3921411,64.57229614
